dataset,model,MASE,WQL
dominick,amazon/chronos-t5-base,0.8184839998797232,0.3322167122770471
ercot,amazon/chronos-t5-base,0.4709441351732014,0.014153762567697693
exchange_rate,amazon/chronos-t5-base,2.594013323935243,0.015871761491889444
m4_quarterly,amazon/chronos-t5-base,1.225370234303082,0.08323908630641966
m4_yearly,amazon/chronos-t5-base,3.640962800472777,0.1352975984989656
m5,amazon/chronos-t5-base,0.9394027931131268,0.5874442769373993
monash_australian_electricity,amazon/chronos-t5-base,1.2807815580046493,0.07030881518764226
monash_car_parts,amazon/chronos-t5-base,0.9032718289505549,1.0672898987194381
monash_cif_2016,amazon/chronos-t5-base,1.007247139414187,0.01144652908558864
monash_covid_deaths,amazon/chronos-t5-base,42.76574955002599,0.04476439514179456
monash_fred_md,amazon/chronos-t5-base,0.46541285967308027,0.02140033668070169
monash_hospital,amazon/chronos-t5-base,0.8115948458536693,0.055523945035553655
monash_m1_monthly,amazon/chronos-t5-base,1.1119344325285494,0.12863095280730857
monash_m1_quarterly,amazon/chronos-t5-base,1.7404364033884028,0.11164218141978062
monash_m1_yearly,amazon/chronos-t5-base,4.40403744444296,0.1849926199812677
monash_m3_monthly,amazon/chronos-t5-base,0.8567558242288913,0.09605327401755354
monash_m3_quarterly,amazon/chronos-t5-base,1.189235573500909,0.0756696716594398
monash_m3_yearly,amazon/chronos-t5-base,3.0986223522466467,0.14807181424397292
monash_nn5_weekly,amazon/chronos-t5-base,0.9382925109365301,0.0908655664543933
monash_tourism_monthly,amazon/chronos-t5-base,1.8023170975354095,0.10011285775611273
monash_tourism_quarterly,amazon/chronos-t5-base,1.7662046986775601,0.07103707620584074
monash_tourism_yearly,amazon/chronos-t5-base,3.8562482502411917,0.19718130485236793
monash_traffic,amazon/chronos-t5-base,0.8026391630833719,0.25580140671697965
monash_weather,amazon/chronos-t5-base,0.8154577895950125,0.13785667411391797
nn5,amazon/chronos-t5-base,0.5871713224555711,0.1619227431911745
ETTh,amazon/chronos-t5-base,0.7876787357808297,0.07824646514384852
ETTm,amazon/chronos-t5-base,0.7821023997578607,0.07084204367668391
