dataset,model,MASE,WQL
ETTh,seasonal_naive,0.9316203207498293,0.12208966014284613
ETTm,seasonal_naive,1.169305380554433,0.14134803942982538
dominick,seasonal_naive,0.8706149876124032,0.45291640462283084
ercot,seasonal_naive,0.7611989849883098,0.0366036447365489
exchange_rate,seasonal_naive,1.740181606968431,0.012984136872721829
m4_quarterly,seasonal_naive,1.6022471746160019,0.11864846680734636
m4_yearly,seasonal_naive,3.9743602578720725,0.16143896775920835
m5,seasonal_naive,1.3992062130767295,1.024088347806844
monash_australian_electricity,seasonal_naive,1.2533189699603582,0.08369512344736368
monash_car_parts,seasonal_naive,1.2014638390969914,1.5999522140809175
monash_cif_2016,seasonal_naive,1.2892906325769107,0.01508304676718649
monash_covid_deaths,seasonal_naive,46.91239825526407,0.13308488253209905
monash_fred_md,seasonal_naive,1.1008000805970743,0.12222376903915554
monash_hospital,seasonal_naive,0.9205278266364826,0.07262633732682543
monash_m1_monthly,seasonal_naive,1.3144614961987113,0.1914632478806115
monash_m1_quarterly,seasonal_naive,2.0775365250315447,0.1495021955839814
monash_m1_yearly,seasonal_naive,4.894322206702217,0.20929559708799866
monash_m3_monthly,seasonal_naive,1.1462045767994975,0.14854459406229317
monash_m3_quarterly,seasonal_naive,1.425343789975721,0.10125204651306628
monash_m3_yearly,seasonal_naive,3.1717102314922774,0.1665329699461513
monash_nn5_weekly,seasonal_naive,1.0628482523556626,0.12269089196320615
monash_tourism_monthly,seasonal_naive,1.6309399943554408,0.10418242906566783
monash_tourism_quarterly,seasonal_naive,1.6989892639655284,0.11937503050490934
monash_tourism_yearly,seasonal_naive,3.5520097250533094,0.20918269069849327
monash_traffic,seasonal_naive,1.0767397158660343,0.3618532311240649
monash_weather,seasonal_naive,1.0038475644770222,0.21659472477715716
nn5,seasonal_naive,1.291728585942819,0.4246208132477663
